 	"TCGA-A6-2670-01A-02T-0822-13"	"TCGA-A6-2672-01A-01T-0827-13"	"TCGA-A6-2674-01A-02T-0822-13"	"TCGA-A6-2676-01A-01T-0827-13"	"TCGA-A6-2677-01A-01T-0822-13"	"TCGA-A6-2678-01A-01T-0822-13"	"TCGA-A6-2683-01A-01T-0822-13"	"TCGA-A6-3807-01A-01T-1021-13"	"TCGA-A6-3808-01A-01T-1021-13"	"TCGA-A6-3809-01A-01T-1021-13"	"TCGA-A6-3810-01A-01T-1021-13"	"TCGA-AA-3514-01A-02T-0822-13"	"TCGA-AA-3516-01A-02T-0827-13"	"TCGA-AA-3517-01A-01T-0822-13"	"TCGA-AA-3518-01A-02T-0827-13"	"TCGA-AA-3524-01A-02T-0822-13"	"TCGA-AA-3525-01A-02T-0827-13"	"TCGA-AA-3526-01A-02T-0822-13"	"TCGA-AA-3534-01A-01T-0822-13"	"TCGA-AA-3538-01A-01T-0822-13"	"TCGA-AA-3543-01A-01T-0827-13"	"TCGA-AA-3552-01A-01T-0822-13"	"TCGA-AA-3555-01A-01T-0822-13"	"TCGA-AA-3558-01A-01T-0822-13"	"TCGA-AA-3561-01A-01T-0822-13"	"TCGA-AA-3562-01A-02T-0822-13"	"TCGA-AA-3666-01A-02T-0906-13"	"TCGA-AA-3667-01A-01T-0906-13"	"TCGA-AA-3672-01A-01T-0906-13"	"TCGA-AA-3675-01A-02T-0906-13"	"TCGA-AA-3679-01A-02T-0906-13"	"TCGA-AA-3681-01A-01T-0906-13"	"TCGA-AA-3685-01A-02T-0906-13"	"TCGA-AA-3693-01A-01T-0906-13"	"TCGA-AA-3695-01A-01T-0906-13"	"TCGA-AA-3696-01A-01T-0906-13"	"TCGA-AA-3710-01A-01T-1021-13"	"TCGA-AA-3715-01A-01T-0906-13"	"TCGA-AA-3811-01A-01T-1021-13"	"TCGA-AA-3812-01A-01T-0906-13"	"TCGA-AA-3818-01A-01T-0906-13"	"TCGA-AA-3821-01A-01T-1021-13"	"TCGA-AA-3831-01A-01T-0906-13"	"TCGA-AA-3837-01A-01T-0906-13"	"TCGA-AA-3842-01A-01T-1021-13"	"TCGA-AA-3844-01A-01T-1021-13"	"TCGA-AA-3846-01A-01T-1021-13"	"TCGA-AA-3848-01A-01T-0906-13"	"TCGA-AA-3854-01A-01T-0906-13"	"TCGA-AA-3855-01A-01T-1021-13"	"TCGA-AA-3856-01A-01T-0906-13"	"TCGA-AA-3860-01A-02T-0906-13"	"TCGA-AA-3861-01A-01T-1021-13"	"TCGA-AA-3862-01A-01T-1021-13"	"TCGA-AA-3864-01A-01T-1021-13"	"TCGA-AA-3866-01A-01T-1021-13"	"TCGA-AA-3869-01A-01T-1021-13"	"TCGA-AA-3877-01A-01T-1021-13"	"TCGA-AA-3939-01A-01T-1021-13"	"TCGA-AA-3941-01A-01T-1021-13"	"TCGA-AA-3947-01A-01T-1021-13"	"TCGA-AA-3949-01A-01T-1021-13"	"TCGA-AA-3950-01A-02T-1021-13"	"TCGA-AA-3952-01A-01T-1021-13"	"TCGA-AA-3966-01A-01T-1114-13"	"TCGA-AA-3968-01A-01T-1021-13"	"TCGA-AA-3975-01A-01T-1021-13"	"TCGA-AA-3976-01A-01T-1021-13"	"TCGA-AA-3977-01A-01T-1021-13"	"TCGA-AA-3979-01A-01T-1021-13"	"TCGA-AA-3986-01A-02T-1021-13"	"TCGA-AA-3989-01A-01T-1021-13"	"TCGA-AA-3994-01A-01T-1114-13"	"TCGA-AA-A00D-01A-21R-A076-13"	"TCGA-AA-A00J-01A-31R-A076-13"	"TCGA-AA-A00L-01A-31R-A076-13"	"TCGA-AA-A00O-01A-11R-A076-13"	"TCGA-AA-A00Q-01A-31R-A076-13"	"TCGA-AA-A00U-01A-21R-A076-13"	"TCGA-AA-A00W-01A-21R-A076-13"	"TCGA-AA-A010-01A-54R-A076-13"	"TCGA-AA-A01D-01A-21R-A076-13"	"TCGA-AA-A01F-01A-21R-A076-13"	"TCGA-AA-A01G-01A-21R-A076-13"	"TCGA-AA-A024-01A-11R-A076-13"	"TCGA-AA-A029-01A-22R-A076-13"	"TCGA-AA-A02E-01A-21R-A076-13"	"TCGA-AA-A02F-01A-21R-A076-13"	"TCGA-AA-A02H-01A-31R-A076-13"	"TCGA-AA-A02J-01A-21R-A076-13"	"TCGA-AY-4070-01A-01T-1114-13"	"TCGA-AY-4071-01A-01T-1114-13"
hsa-mir-126	0.048086	-0.370055	-0.180899	-0.524648	-0.382504	0.098489	0.853548	1.804119	-0.855684	-0.258555	-0.791540	0.320926	-0.224881	-0.710791	-0.616237	-0.613596	-1.035385	-0.640034	0.238759	-0.153028	-1.187406	0.325499	-0.996327	-0.635771	-1.406888	0.252410	-0.373597	-0.464895	-0.452298	-0.647909	0.075096	-0.138438	0.809904	0.047968	-0.166448	-1.400422	1.214795	1.035993	1.307217	0.122618	1.224074	1.935490	1.298963	-0.707527	2.454156	1.106967	0.161197	0.508240	-1.172735	0.358662	0.495032	0.205257	-0.938474	2.098688	1.196575	-0.009378	0.602663	1.018186	0.597394	-1.008935	-0.049302	1.461419	0.401175	-0.001809	-0.116891	2.397288	-0.294971	-0.700041	0.189467	1.413603	-0.929496	-0.536074	-0.925245	-1.489857	-1.164324	1.441828	3.369607	-1.458838	0.875386	-0.357315	-0.995978	-1.115449	-1.016822	-0.677548	-1.522453	-1.658188	0.471359	-1.221237	-0.671176	-0.067801	0.405702	-0.207704	
hsa-mir-1262	-0.491314	0.703140	-0.638730	0.343313	-0.987130	0.707876	1.032001	-0.096432	-0.264628	-0.395294	-0.987130	-0.987130	-0.378594	0.723584	0.197650	0.292227	-0.987130	-0.402286	0.865743	-0.153342	0.293152	-0.457026	-0.355071	2.767131	1.112526	0.488279	0.185407	0.634714	-0.364760	0.448922	0.741191	1.235976	-0.535250	1.305160	-0.987130	-0.987130	-0.461193	0.271906	0.302360	-0.122454	-0.374037	-0.662630	-0.048544	-0.047437	-0.126947	-0.030873	-0.391233	-0.987130	-0.105850	-0.179905	1.586629	-0.268671	-0.987130	-0.868169	0.116979	0.050587	-0.341905	-0.987130	-0.359950	0.367338	-0.203237	-0.238860	-0.987130	-0.727440	0.455354	0.092223	-0.119320	-0.987130	-0.281808	0.619418	-0.676383	-0.319549	-0.609413	-0.269078	-0.429196	0.069307	-0.987130	1.089670	-0.613974	0.307530	6.964470	0.282210	-0.376400	-0.072408	0.175581	0.404562	-0.577527	0.222150	-0.401161	-0.987130	0.989122	-0.774408	
hsa-mir-1266	-0.703387	-0.379900	-0.553906	0.098100	-0.882357	-0.581958	-0.507496	-0.526923	-0.850520	-0.021879	-0.824206	-0.692922	0.707715	-0.578181	-0.077945	-0.333283	-0.389875	-0.202049	-0.306409	-0.428179	-0.127596	-0.887527	-0.381623	0.996318	-0.101003	-0.462457	-0.876724	-0.625544	1.883541	-0.713273	0.340243	-0.604647	-0.728740	-0.422606	-0.556042	-0.554658	0.148573	0.624970	2.455322	-0.756648	-0.694677	1.585163	-0.628426	-0.868993	-0.203595	-0.667610	-0.416402	-0.345845	-0.565716	-0.549571	-0.777326	-0.644011	-0.757651	-0.360248	3.045529	-0.823157	-0.741279	-0.456170	-0.627585	-0.794096	0.141342	-0.233879	0.287476	-0.252726	2.401616	-0.089856	-0.780841	-0.595955	-0.107668	-0.139710	-0.356918	-0.489625	-0.698882	-0.437036	5.100675	0.483710	0.540846	-0.150621	0.553663	-0.117916	2.025706	2.086810	0.332055	1.077827	-0.169472	0.536312	0.861956	0.677466	0.287868	1.017531	1.893097	-0.007507	
hsa-mir-1269	-0.064340	-0.436910	-0.437269	-0.438956	-0.355329	-0.151626	1.748629	-0.358717	-0.433707	-0.427490	-0.432297	1.139707	-0.424220	1.381783	-0.430349	-0.438956	-0.431407	-0.421961	0.172773	-0.381411	-0.438956	-0.238695	-0.423650	-0.120753	1.125077	-0.342998	-0.379327	-0.228178	-0.429913	-0.432001	-0.324556	-0.354972	-0.403939	0.442087	0.502105	5.004623	-0.422399	-0.424728	2.547033	-0.057021	-0.432028	-0.438956	-0.434410	-0.408615	-0.426458	0.054293	-0.340828	-0.433063	-0.438956	-0.270190	-0.341013	-0.400679	-0.249812	-0.421671	-0.417566	-0.065359	-0.432706	-0.425527	0.177682	5.284727	-0.437691	-0.437144	-0.110643	-0.423863	-0.300005	-0.359670	0.137564	-0.042583	-0.435540	-0.436363	0.374770	1.195706	0.549834	-0.421568	-0.437605	3.516209	-0.430699	-0.219679	-0.364857	-0.032632	-0.413648	-0.437727	0.013610	0.008501	-0.430509	-0.410647	-0.431021	-0.431147	0.224196	0.029180	-0.429385	-0.290596	
hsa-mir-127	1.099085	-0.516967	1.231216	-1.305890	-1.141775	0.280972	4.524292	1.420252	0.010975	0.140777	1.278233	-0.081934	-0.748021	-0.891845	-0.850705	-0.024387	-1.493090	0.443908	-0.135952	-0.115731	-0.180226	-0.631184	-0.210760	-0.985347	-0.599807	0.075732	-0.420861	-0.445403	-0.800155	1.395478	-0.012922	-0.655296	2.011480	-0.740160	1.690607	1.183842	-0.377649	0.895094	-1.058152	0.675554	-0.387614	0.923576	1.015296	0.487957	1.742490	0.293048	-0.259467	0.028075	-1.340017	-0.262867	-0.583817	1.169051	-1.199537	0.747246	0.497933	0.043148	-0.583896	0.164945	0.824211	-1.066035	-1.121656	0.328925	-0.350475	0.151712	-1.010825	1.230050	-0.370538	0.495527	2.483210	0.612227	-0.891496	0.268817	-1.337992	-0.722412	-1.051373	0.417521	-0.639218	-1.074253	-0.179259	-0.670155	-1.182504	0.477111	-0.565370	0.150373	-0.849060	-0.844497	0.696942	-0.460261	-0.422434	1.977203	-0.989923	-0.742916	
hsa-mir-1271	1.693840	-0.559317	0.931648	-0.973847	0.096000	0.965598	1.342769	-0.931339	0.591441	0.554625	0.898056	0.828689	-0.478297	0.135671	-1.571202	2.002956	-1.384578	-0.170728	0.092639	-0.073754	-1.060239	1.602285	-0.436049	1.425464	0.691335	0.195314	0.885599	0.856103	-1.571202	0.578040	1.187902	-0.506507	0.322433	1.957534	1.426715	0.684413	1.577335	-0.314992	-0.198834	-0.121808	-1.081829	-0.891282	-0.728371	-0.633618	-0.026349	-0.140036	-0.500995	0.249960	-1.219481	-0.443624	-1.130977	1.009442	-1.571202	-1.001471	-0.249246	0.499573	-0.798670	0.088701	1.057043	-0.760346	-0.789069	0.444594	0.660054	1.538089	-1.091454	2.090359	0.073936	-0.521342	3.495715	-0.609437	-0.703063	0.512684	-0.553655	-1.141338	-0.903184	-0.938763	-0.890772	-0.825232	1.109490	-1.261181	-1.027174	-1.115265	-1.388394	-0.065299	-0.063071	-0.571433	-0.099942	-0.123324	-0.518826	1.387736	-0.585295	-0.425082	
hsa-mir-1274b	-0.845001	-0.845001	-0.755872	-0.845001	-0.845001	-0.682393	-0.282341	-0.503209	0.402620	0.820457	0.825717	-0.490004	-0.689323	-0.535006	-0.617680	-0.626808	-0.805126	-0.845001	-0.845001	-0.711687	-0.790413	-0.505968	-0.845001	-0.524859	-0.361575	-0.548438	0.429837	-0.672124	0.587949	0.165280	0.702503	0.178698	1.004619	-0.279524	-0.012284	-0.459443	-0.306814	0.389679	1.958988	0.084056	-0.008504	0.939811	-0.124665	-0.564540	3.501076	0.500478	4.871653	0.555829	-0.168646	0.342413	-0.092513	0.165889	1.498465	0.737513	0.237749	1.190283	-0.102216	1.141117	2.283719	1.927030	-0.243388	-0.557863	1.300340	-0.379957	-0.578486	-0.246734	-0.252985	0.949549	2.853968	0.165354	-0.493892	-0.680318	-0.772529	-0.385766	-0.488170	0.100912	-0.699616	-0.632483	-0.463153	-0.513797	-0.670641	-0.585220	-0.610643	-0.727997	-0.795426	-0.773795	-0.425858	-0.767660	-0.670112	0.278951	-0.802870	-0.736162	
hsa-mir-1275	-0.562625	-0.854717	-0.752094	-0.854717	-0.854717	-0.605080	-0.610446	-0.277523	-0.641899	-0.680388	-0.044747	-0.037224	-0.854717	-0.098864	-0.854717	-0.854717	-0.854717	-0.510178	-0.854717	-0.424921	-0.854717	-0.698572	-0.854717	0.804047	-0.731024	-0.171787	-0.509339	0.339596	-0.854717	1.894775	4.066472	-0.068920	1.541161	0.254556	-0.264688	-0.632750	-0.854717	-0.607479	3.492204	0.164067	-0.613930	0.005536	-0.025316	-0.393396	0.412147	0.271971	4.762100	0.399782	-0.422072	0.532296	1.203032	1.261551	0.423419	-0.153902	-0.529495	0.266060	-0.094496	-0.528027	1.177426	0.342186	-0.700783	-0.083288	-0.305792	-0.854717	-0.618666	0.893902	0.252967	0.350602	0.599584	-0.381498	-0.488587	-0.363116	-0.854717	-0.854717	-0.772546	1.167958	0.149664	0.980490	0.794017	-0.168286	0.216001	1.014746	1.124124	-0.181124	-0.626394	0.047134	0.050167	-0.735984	0.180890	-0.045887	-0.660678	-0.792059	
hsa-mir-1277	-0.145547	-0.307128	-0.086465	-0.138710	-0.624943	-0.304516	2.180767	0.922001	-0.442385	0.066263	-0.481048	-0.559034	-0.568084	-0.138617	-0.585892	-1.239269	-0.551602	0.050838	-1.239269	0.140170	-0.297878	-0.069911	-1.239269	1.521240	0.150220	-0.541854	-1.239269	-0.046727	-1.239269	-1.239269	0.666983	-0.258479	-0.740868	-0.516903	-0.686937	-1.239269	-1.239269	-1.239269	3.185488	0.477381	0.789364	3.413526	-0.721662	0.142644	0.183840	-0.184565	0.075221	1.444958	-0.591264	0.244614	-0.428204	-1.239269	1.419567	1.384893	-0.833343	-0.476236	1.607335	-0.627633	0.835978	-0.492314	-0.374674	-0.413964	0.559222	0.049647	0.528496	1.340089	0.515509	-0.594520	-1.239269	1.861631	1.331271	-0.397773	-0.406062	-0.447294	-0.931582	-0.074072	0.014347	-0.781148	-0.827697	-0.382502	-0.988692	-0.399258	1.791953	0.778517	-0.811798	-1.239269	0.567817	1.650578	-0.592974	1.183624	2.030292	0.637705	
hsa-mir-128-1	-0.849436	-0.239063	-0.542390	-0.734863	-0.589098	-1.011061	0.112190	-0.491394	-0.822461	1.369494	-0.412492	-0.688452	0.084099	-0.803958	-0.185452	-0.846543	-0.970314	0.591856	-0.295482	-0.307454	-0.645533	-0.990616	-0.322306	0.045953	0.008254	-0.321747	-0.668994	-0.786397	1.468766	0.369157	1.342350	-0.226099	0.413135	-0.480480	0.240683	2.116426	0.275821	-0.426334	1.790811	-0.266476	-0.276906	-0.270475	0.405938	-0.481487	-0.778776	-0.138408	-0.316473	-0.116234	-0.653025	-0.518843	-0.686205	-0.034460	-0.034877	-0.715611	0.541829	-0.371912	-1.081643	0.187318	-0.097231	-0.320131	-0.706004	-0.756467	-0.013978	-0.565704	0.111182	0.001884	-0.838636	-0.095485	1.525127	0.651070	-0.160292	-0.440387	-1.066822	0.268073	2.530574	-0.124936	0.180452	0.516424	0.853211	0.245683	6.783182	0.482064	0.276902	0.213105	0.787560	-0.249873	-0.206567	-0.551895	0.073430	0.917075	0.462303	-0.648748	
hsa-mir-128-2	-0.685497	-0.480237	-0.396000	-0.469552	-0.637032	-0.915416	0.335872	-0.164101	-0.953701	1.327574	-0.175100	-0.268212	-0.233440	-0.720680	-0.473871	-0.445461	-0.773192	0.419222	-0.284055	-0.579082	-0.984145	-0.987990	0.000883	-0.230907	0.188462	-0.240701	-0.687616	-0.711850	1.263888	0.218242	0.786364	-0.217543	0.038684	-0.628115	0.158150	1.325713	0.004563	-0.680804	2.206540	-0.514035	-0.305432	-0.291933	0.560172	-0.697253	-0.806356	-0.168517	-0.124794	-0.268662	-0.719436	-0.677231	-0.815479	-0.234805	0.591486	-0.722223	-0.222553	-0.523863	-0.892762	0.123561	-0.119574	-0.157314	-0.771392	-0.995248	-0.111383	-0.336246	0.171113	0.077420	-0.591560	-0.052013	0.550897	0.441479	0.042620	-0.344986	-0.913516	0.548404	2.250115	0.041865	-0.062355	0.479312	1.297586	0.009734	7.123636	0.882782	0.666402	0.400190	0.685588	0.130173	-0.208519	-0.404315	0.120052	1.369260	0.541550	-0.301498	
hsa-mir-1287	-0.132933	-0.457566	2.463310	0.992724	-0.362634	-0.250707	2.401756	-0.167979	0.086450	0.959863	0.375348	1.423619	0.068601	-0.804475	0.017064	-1.125161	-1.077782	-0.473727	-0.444538	0.488190	-0.511623	-0.520168	-1.571209	-1.074934	-1.069589	0.951856	-0.189611	-0.018779	4.681940	0.532689	2.355692	-0.667496	0.794594	-0.358181	0.843569	0.651796	0.308582	1.475187	0.824453	-0.245417	-0.927962	1.000508	0.373130	0.325788	-0.775560	0.186507	-0.637475	-0.417286	-0.373552	-0.156068	-0.054712	0.075477	-0.642671	-0.772644	-0.522855	-0.548886	-0.638108	1.843381	-0.172178	-0.792977	0.670041	-0.560178	-0.386719	-0.029470	-0.083241	-0.495725	-0.973575	1.484843	1.165524	1.651719	-0.245467	-0.229992	-1.240861	-0.957033	0.619450	-0.356377	0.121574	-0.680596	-0.801839	-0.799378	0.555525	-0.658322	-1.142797	-1.070898	-0.141869	-1.296344	0.021961	-1.359170	-1.125675	0.054452	1.227680	-0.481875	
hsa-mir-1291	0.790847	0.140914	0.255265	-0.708413	-1.010518	-0.625632	-0.584781	-0.525115	1.286309	0.064591	-1.010518	1.510269	1.753093	-0.622065	0.603654	-1.010518	-0.161074	2.707903	-0.730029	-0.442532	-1.010518	-1.010518	-1.010518	0.126125	0.515146	-0.819076	-0.478020	-0.519487	-0.445230	0.945992	1.082552	-0.202835	0.220785	0.030505	1.718563	-0.668293	-0.532819	-0.248144	-0.620111	-0.696369	-0.453656	1.200013	1.546985	-1.010518	0.161416	-0.576242	0.071968	0.647332	-1.010518	-0.643923	0.659267	1.599734	2.492773	-0.254166	0.660886	-1.010518	0.161575	1.507902	3.546737	-0.395398	-1.010518	-1.010518	-0.375777	-0.774645	-0.864942	-0.356946	-0.485040	2.175197	0.270744	0.327081	-0.634189	-0.923896	-0.838980	-1.010518	0.003006	2.827653	-1.010518	0.121275	-0.671587	-0.775334	0.227590	-0.318766	-0.455803	-0.179692	-1.010518	-0.252088	-0.080431	-0.461334	0.053933	1.483554	-0.711352	-0.237672	
hsa-mir-1296	-0.976408	-1.172621	-0.621122	-0.646116	-0.952202	-1.172621	-0.016861	-0.749643	-1.172621	0.701069	-0.356475	-0.074319	0.031479	-0.439213	-0.938190	-0.835095	-1.172621	-0.941177	-0.683788	-0.925150	-1.003736	-0.753057	-0.172105	1.303543	-1.006438	-0.588747	-0.476597	-1.065650	0.797737	-0.604322	0.195298	-0.820715	-0.099668	0.123298	0.809137	0.020230	-0.444157	0.654284	2.682966	-0.419816	1.657984	1.074668	-0.244038	-0.304922	0.018800	-0.226556	0.006471	0.272023	-0.591363	0.531105	-0.154090	-0.035339	1.116944	0.286773	0.720770	-0.898846	-0.406603	-0.294804	-0.428026	0.703423	-0.655596	-0.728444	1.039820	-0.556006	-0.665204	2.102115	0.029364	-0.709951	0.502109	0.151900	-0.393785	-0.549896	-0.724191	-0.604302	1.256125	-0.336479	0.176764	-0.022009	0.599437	0.569350	0.805329	-0.569831	0.519197	1.270804	-0.098990	0.479609	1.582991	0.103529	0.682494	5.999347	0.000492	-0.078256	
hsa-mir-1301	-0.472376	-0.745373	0.305438	-0.230059	-0.948090	0.474906	0.513507	-0.648985	-0.514834	-0.096330	-0.123620	-0.060487	-0.364227	-0.332583	-0.095533	-0.641219	-0.648990	0.033889	0.014856	-0.198107	-0.436268	-0.566631	-0.644874	0.102506	-0.746637	-0.290852	-0.244967	-0.688742	2.336160	-0.603633	0.571968	0.118395	0.569365	-0.437527	0.132974	-0.134704	0.187289	0.159233	0.048549	-0.201434	-0.163777	-0.442157	0.065008	-0.497293	0.496197	0.542825	-0.662222	0.219413	-0.948090	-0.496300	-0.242546	-0.258761	0.092723	0.022081	-0.330140	-0.118388	0.135272	-0.149997	-0.346338	-0.948090	-0.572035	-0.230158	0.728165	-0.636638	0.089909	0.518996	-0.184851	-0.247007	-0.102184	0.015292	-0.339372	-0.582082	-0.766889	0.257551	-0.078207	0.065514	0.278743	-0.848460	2.363654	0.169861	0.305278	0.817828	0.443584	0.203805	-0.390306	-0.480747	-0.063850	-0.319621	0.223183	0.632663	7.979493	0.327517	
hsa-mir-1306	-0.587794	-0.026575	0.985142	-0.246896	0.469324	-0.306449	-0.460916	-1.047825	-0.737423	0.597901	-0.548010	-0.551301	1.067701	-0.724909	0.202585	-0.298296	-0.853662	-0.212493	-0.446249	-0.397059	-0.726756	-1.052166	-0.949583	1.562293	-1.303858	-0.878632	-0.405774	-0.950933	2.380433	0.581815	0.346653	1.695110	0.081567	0.116817	-0.745765	0.057245	-0.174396	0.525788	0.913229	0.096471	-0.831584	0.754377	-0.483772	-0.955215	-0.431559	-0.944104	-0.386399	1.067196	-0.797350	-0.276993	-0.968961	0.824083	0.354873	-0.787577	0.389419	0.386674	-0.503535	1.204279	-1.375189	2.502906	-0.884450	-1.334577	1.773924	-1.106504	-0.779219	-0.680534	-0.033256	-0.213140	1.962805	0.659530	-0.473850	-0.865864	-1.015470	1.786020	-0.182106	0.186042	-0.060729	-0.192472	1.668411	-1.238167	3.062429	1.990517	0.155528	-0.128303	-0.740627	-0.465323	-0.005717	-1.315153	-0.668413	2.650823	1.286639	-0.586717	
hsa-mir-1307	-0.729286	-0.544347	-0.064865	0.151884	0.912341	0.093639	-0.917350	0.033532	-1.586363	0.397019	-0.315386	0.306530	1.177313	-1.305878	-0.135766	0.049404	-0.131777	0.270356	-0.007517	0.063392	-0.128754	0.498495	0.704567	2.393212	1.793800	-0.776227	-0.013890	-0.587440	3.785710	2.221295	1.539549	0.627272	-0.580770	-0.462963	-0.169006	-0.367845	-0.603996	-0.026341	0.052237	-0.702564	-1.144484	-0.297502	1.688792	-0.592669	-0.230155	-0.746766	-0.739216	1.969829	-0.357604	-1.024523	-1.077633	0.766951	-0.037356	-1.076355	0.190053	-0.318423	0.504161	0.447077	-0.268332	-0.311165	-0.471549	-0.591416	0.076861	-0.669294	-0.578708	-0.215255	-0.425917	1.823229	1.571387	3.142670	-0.272138	-0.035997	-1.634393	-1.313442	1.888904	-0.522900	-1.342522	-1.272952	0.236675	0.440544	0.321971	0.488514	-0.754817	-0.033927	-0.376700	-0.320039	-0.767555	-1.210857	-0.782403	0.130770	0.395006	-1.181650	
hsa-mir-1308	-0.721596	-0.479340	0.077349	1.566615	-0.721596	-0.721596	-0.432207	-0.517343	-0.514492	0.974889	-0.524541	-0.368021	3.115984	-0.149495	-0.721596	0.500821	0.172000	0.954846	-0.544556	-0.721596	-0.476936	-0.113783	-0.721596	0.354554	-0.480852	-0.117421	-0.385491	-0.411664	-0.364794	-0.721596	5.553715	0.043102	-0.462535	-0.158385	-0.147410	-0.505589	-0.269320	1.443804	-0.228757	0.071548	-0.370113	-0.442545	2.237886	0.355848	-0.475027	0.648950	-0.721596	2.417644	0.457284	-0.104558	-0.510807	-0.309707	1.766039	0.165002	1.599334	-0.523290	2.977451	-0.403678	-0.362036	-0.721596	-0.421995	-0.721596	-0.053863	-0.572717	-0.537825	1.031637	-0.307003	-0.051336	0.895836	-0.337835	-0.602830	-0.393549	-0.505053	-0.721596	-0.241804	-0.418771	-0.721596	-0.483472	-0.079810	-0.424707	0.580865	-0.576055	-0.021339	-0.459393	-0.721596	-0.562026	-0.604185	-0.490505	-0.497641	-0.406751	0.222551	-0.599644	
