 	"TCGA-A6-2670-01A-02D-0820-05"	"TCGA-A6-2672-01A-01D-0825-05"	"TCGA-A6-2674-01A-02D-0820-05"	"TCGA-A6-2676-01A-01D-0825-05"	"TCGA-A6-2677-01A-01D-0820-05"	"TCGA-A6-2678-01A-01D-0820-05"	"TCGA-A6-2683-01A-01D-0820-05"	"TCGA-A6-3807-01A-01D-1020-05"	"TCGA-A6-3808-01A-01D-1020-05"	"TCGA-A6-3809-01A-01D-1020-05"	"TCGA-A6-3810-01A-01D-1020-05"	"TCGA-AA-3514-01A-02D-0820-05"	"TCGA-AA-3516-01A-02D-0825-05"	"TCGA-AA-3517-01A-01D-0820-05"	"TCGA-AA-3518-01A-02D-0825-05"	"TCGA-AA-3524-01A-02D-0820-05"	"TCGA-AA-3525-01A-02D-0825-05"	"TCGA-AA-3526-01A-02D-0820-05"	"TCGA-AA-3534-01A-01D-0820-05"	"TCGA-AA-3538-01A-01D-0820-05"	"TCGA-AA-3543-01A-01D-0825-05"	"TCGA-AA-3552-01A-01D-0820-05"	"TCGA-AA-3555-01A-01D-0820-05"	"TCGA-AA-3558-01A-01D-0820-05"	"TCGA-AA-3561-01A-01D-0820-05"	"TCGA-AA-3562-01A-02D-0820-05"	"TCGA-AA-3666-01A-02D-0904-05"	"TCGA-AA-3667-01A-01D-0904-05"	"TCGA-AA-3672-01A-01D-0904-05"	"TCGA-AA-3675-01A-02D-1110-05"	"TCGA-AA-3679-01A-02D-0904-05"	"TCGA-AA-3681-01A-01D-0904-05"	"TCGA-AA-3685-01A-02D-0904-05"	"TCGA-AA-3693-01A-01D-0904-05"	"TCGA-AA-3695-01A-01D-0904-05"	"TCGA-AA-3696-01A-01D-0904-05"	"TCGA-AA-3710-01A-01D-1020-05"	"TCGA-AA-3715-01A-01D-0904-05"	"TCGA-AA-3811-01A-01D-1020-05"	"TCGA-AA-3812-01A-01D-0904-05"	"TCGA-AA-3818-01A-01D-0904-05"	"TCGA-AA-3821-01A-01D-1020-05"	"TCGA-AA-3831-01A-01D-0904-05"	"TCGA-AA-3837-01A-01D-0904-05"	"TCGA-AA-3842-01A-01D-1020-05"	"TCGA-AA-3844-01A-01D-1020-05"	"TCGA-AA-3846-01A-01D-1020-05"	"TCGA-AA-3848-01A-01D-0904-05"	"TCGA-AA-3854-01A-01D-0904-05"	"TCGA-AA-3855-01A-01D-1020-05"	"TCGA-AA-3856-01A-01D-0904-05"	"TCGA-AA-3860-01A-02D-0904-05"	"TCGA-AA-3861-01A-01D-1020-05"	"TCGA-AA-3862-01A-01D-1020-05"	"TCGA-AA-3864-01A-01D-1020-05"	"TCGA-AA-3866-01A-01D-1020-05"	"TCGA-AA-3869-01A-01D-1020-05"	"TCGA-AA-3877-01A-01D-1020-05"	"TCGA-AA-3939-01A-01D-1020-05"	"TCGA-AA-3941-01A-01D-1020-05"	"TCGA-AA-3947-01A-01D-1020-05"	"TCGA-AA-3949-01A-01D-1020-05"	"TCGA-AA-3950-01A-02D-1020-05"	"TCGA-AA-3952-01A-01D-1020-05"	"TCGA-AA-3966-01A-01D-1110-05"	"TCGA-AA-3968-01A-01D-1020-05"	"TCGA-AA-3975-01A-01D-1020-05"	"TCGA-AA-3976-01A-01D-1020-05"	"TCGA-AA-3977-01A-01D-1020-05"	"TCGA-AA-3979-01A-01D-1020-05"	"TCGA-AA-3986-01A-02D-1020-05"	"TCGA-AA-3989-01A-01D-1020-05"	"TCGA-AA-3994-01A-01D-1110-05"	"TCGA-AA-A00D-01A-01D-A004-05"	"TCGA-AA-A00J-01A-02D-A004-05"	"TCGA-AA-A00L-01A-01D-A004-05"	"TCGA-AA-A00O-01A-02D-A00B-05"	"TCGA-AA-A00Q-01A-01D-A004-05"	"TCGA-AA-A00U-01A-01D-A004-05"	"TCGA-AA-A00W-01A-01D-A004-05"	"TCGA-AA-A010-01A-01D-A00B-05"	"TCGA-AA-A01D-01A-01D-A00B-05"	"TCGA-AA-A01F-01A-01D-A004-05"	"TCGA-AA-A01G-01A-01D-A004-05"	"TCGA-AA-A024-01A-02D-A00B-05"	"TCGA-AA-A029-01A-01D-A00B-05"	"TCGA-AA-A02E-01A-01D-A00B-05"	"TCGA-AA-A02F-01A-01D-A00B-05"	"TCGA-AA-A02H-01A-01D-A00B-05"	"TCGA-AA-A02J-01A-01D-A00B-05"	"TCGA-AY-4070-01A-01D-1110-05"	"TCGA-AY-4071-01A-01D-1110-05"
VTI1A	2.068180	1.566310	1.743762	0.724888	0.113204	0.605136	1.574254	-0.451093	-0.743176	-0.384117	-1.668685	1.026356	0.631784	1.156818	1.627975	1.145056	1.323819	1.613418	0.953632	1.475261	1.481243	0.667716	1.778151	0.454145	1.233666	0.300333	-0.907234	-0.861070	-0.161927	-0.918295	-0.493766	-0.556029	-0.647474	-0.647474	-1.197602	-0.501079	-0.047976	-0.489192	-0.264817	-0.121178	-0.505843	-0.733500	-0.704420	-0.223864	-0.861529	-0.467142	-0.649135	-0.005928	-0.369310	-0.537146	-0.627259	-1.215816	-0.742721	-1.134046	-0.034253	-1.425496	-0.079904	-0.470705	-1.492236	-0.221111	-0.592665	-0.350110	-0.907018	-0.930811	-1.849797	-0.384917	-0.271671	-0.608396	-0.498328	-0.718967	0.214099	-0.063225	-0.986304	1.889584	1.515504	-0.794920	0.606433	1.593819	1.660012	1.650311	-0.047113	-0.620431	1.906936	1.721404	0.290072	0.150031	-0.115944	-1.029762	-1.216376	-0.348542	-0.961107	-1.603359	
A1CF	-0.635614	2.205672	3.448506	0.706914	-1.281376	-1.103222	-2.056013	0.246278	0.617653	0.549042	-0.037208	0.041668	0.353895	0.467459	-0.661723	-0.443173	-0.735497	-0.258699	-0.904931	-0.389716	0.122429	-0.124367	-0.348619	-1.283888	-1.496423	0.001306	-1.320138	-0.736062	0.627526	-0.484416	-0.150827	0.975250	0.020643	-0.726186	0.070531	-0.447153	1.497624	2.535094	-0.915811	0.740604	0.188236	0.560410	0.155147	0.179197	0.267320	-0.616282	-0.133405	-0.616128	-0.540056	-0.343539	0.243439	0.001109	0.517455	0.710429	0.231618	-0.030079	-0.099420	1.093504	0.419164	-1.436527	0.370739	1.117905	2.696852	0.574267	0.814384	-0.282728	-0.666758	-0.181832	0.025696	-1.743205	1.234921	0.661477	0.227055	2.126289	-0.772811	-0.752951	0.703407	0.353887	-1.134877	-1.617265	-0.252812	1.647646	-1.891819	-0.399541	-0.398821	-1.267552	-1.364448	-0.151879	0.221446	-0.690020	1.715279	-0.360554	
VCAM1	-0.261378	1.294029	2.211581	-0.427929	-1.588323	-1.459912	-1.815489	0.667917	0.760488	-0.019384	0.209631	-1.544642	0.804491	0.858484	-1.024034	-1.317866	-0.879114	-1.707902	-2.062902	-0.797384	0.204350	-0.640669	-0.569718	-0.516800	-1.831337	-1.051583	-0.745798	0.437624	0.192010	-0.410288	0.499819	0.278438	1.238274	-0.203072	0.038750	-0.070556	1.286454	0.926556	0.493869	0.559776	-0.521815	0.862792	-0.204687	0.928681	0.455692	-0.782662	-0.398993	0.054472	-0.116278	0.709390	-0.312858	0.454427	0.824791	1.122710	0.664881	1.233344	0.829687	2.863295	1.375191	-0.823148	0.936366	1.210009	1.699691	0.728066	0.454181	0.698360	0.239613	-0.884035	-0.447067	0.812686	0.707818	0.143997	0.998071	-0.737398	0.737062	0.672133	-1.255641	-1.539185	-1.154061	-1.535496	-0.782796	1.416567	-2.136083	0.108704	-1.172323	-0.976543	-1.248859	-0.126146	0.179081	0.031442	0.342590	0.643818	
CSRNP3	-0.940702	2.818836	2.307787	0.797649	-1.841348	-0.303251	-2.220372	1.274938	0.760960	0.975088	0.160635	-1.306879	0.134972	-1.286007	-0.616296	-0.334518	-0.588889	-0.419065	-1.873652	-0.670163	-0.298467	-0.534119	-0.204111	-0.753760	-2.084039	-0.310258	0.500922	0.615963	0.713760	0.594805	-0.280290	0.361438	0.394911	-0.116573	0.064306	-0.433402	1.235313	2.181533	-0.251384	0.808690	0.801479	0.696247	1.016889	0.043212	0.540336	-0.994886	-0.746275	-0.059354	0.003255	-0.362340	0.534250	-0.904596	0.642214	0.861441	-0.754920	1.266865	0.390382	1.044085	0.908446	-0.902848	0.534888	0.854848	2.357915	1.444802	0.456433	-1.335362	0.115783	-0.071266	0.058172	-0.931741	-0.192662	0.302245	0.226892	1.074993	-0.057646	-0.780314	0.599106	-0.908288	-0.951055	-1.904232	-0.580946	1.896975	-1.923938	-0.866455	-0.515198	-0.875007	-1.355389	-0.301104	0.689075	-0.448104	0.291330	0.036408	
SNORD107	1.483758	0.210745	0.909900	-1.612333	0.649843	1.316169	-1.472871	-1.203741	-1.702628	-0.258886	-0.065023	1.038919	1.096899	0.665245	1.511963	1.555353	0.782922	1.637672	1.088810	0.606975	1.142464	1.532299	-0.526327	-0.390450	1.355241	-0.544573	0.014120	-0.669904	0.105592	0.382925	-0.765541	-0.508898	0.043481	-0.286297	-0.831581	-2.838898	-0.559007	-1.237531	0.798151	-0.220391	-0.993096	-0.689955	-2.117330	0.197039	-0.767536	0.919471	0.116567	-0.674628	-0.738574	-0.204807	-0.382207	-0.273780	-0.705467	-0.260949	0.372501	-1.045079	-0.089508	-1.008801	-1.071736	-2.933427	-0.680335	0.086543	0.390717	-0.769170	-0.280837	0.889762	-0.721262	-0.492051	0.469759	0.081303	0.747670	-0.515706	-0.356904	1.550903	1.382062	1.059450	0.297012	1.661151	1.632310	1.670023	0.344676	-0.666198	1.247489	1.395230	0.466750	0.118611	0.112348	-0.212869	-1.391192	-0.033120	-0.745291	-0.622099	
MRPS7	-0.533041	-0.065942	-0.242260	0.399641	-1.324873	-1.984341	1.496635	0.681567	0.709741	-1.180673	-0.865207	-1.857471	-0.077659	-0.516265	-0.933624	-0.402233	-0.003364	0.104664	-0.539101	0.116129	-2.021807	-0.436367	-0.258433	-1.589701	-2.142234	-1.423755	-0.271531	-0.223710	-0.528890	1.341788	1.138820	-0.040746	1.276115	1.099114	2.455864	1.012114	0.448629	1.044972	0.296359	1.357492	-0.227489	1.297142	-0.532269	1.258679	1.361671	1.752531	0.507861	1.445822	-0.392457	-0.969609	0.314699	0.100246	0.711731	0.712261	-1.282973	0.394150	1.016371	0.868061	-0.309511	0.054626	1.042982	0.190454	-0.543062	1.116967	0.430471	0.653799	0.225660	0.521355	-0.724875	-0.112176	-0.702170	-0.226340	-0.592957	-0.827224	-1.413306	-0.564475	0.077741	-1.559689	-0.916564	-1.605701	1.774252	0.765750	-1.304864	0.458597	-0.936120	-0.506988	-1.349530	0.781570	0.913749	1.984587	0.122835	-0.772685	
MYH7	1.117060	0.518952	-0.170899	1.234710	1.013872	0.967624	0.609212	0.179454	-0.265998	-2.593465	-0.100585	0.925702	-1.895844	1.006860	-1.453502	1.083905	-1.432822	0.873853	0.711820	1.125302	-3.421411	0.995573	1.002935	-1.277177	1.092163	-2.144816	-0.017561	-0.689260	0.375988	-0.465580	0.379844	-0.320446	0.157209	0.286499	0.418252	-1.374425	-1.960258	-0.064775	-1.059272	0.584257	0.092859	-0.292583	0.068365	0.532914	-0.507240	1.238684	0.835718	-0.158006	-3.471592	0.278340	0.099420	0.700257	-0.325191	0.196131	-0.629206	0.514745	0.321953	0.023904	0.088557	-0.143961	-0.308481	-0.446916	0.553740	0.262514	-1.147200	0.782246	-0.210080	0.178108	0.566662	0.556597	0.285428	-0.367806	-0.716329	0.678763	1.285674	0.095554	0.329304	1.227589	0.906915	1.051410	0.082772	0.197716	1.604672	0.556723	-1.533575	-2.028062	0.221011	0.366386	-0.170774	0.610830	-0.745346	-0.143062	
SIAE	1.192575	1.169783	1.441675	1.049440	1.311838	-0.089609	0.653420	-1.479894	-1.829113	-0.300378	-0.673404	-0.607838	0.190439	0.242005	2.190326	1.381296	0.658759	1.713393	0.374918	1.485090	0.975368	0.363331	1.326913	0.160539	1.201239	1.208036	0.029853	0.570403	0.074069	-0.102063	-0.126820	-0.179108	1.092135	0.478722	-0.860823	-1.852554	-2.006636	-0.583113	0.485016	-1.228516	-0.495915	-1.258069	-0.353417	-0.286642	-0.878433	1.188043	-0.427027	0.559883	-1.529627	-1.125163	-1.488130	-0.154383	-1.646625	-0.709006	-0.087696	0.477625	-0.026152	-0.432160	-0.325033	-1.547015	-0.954515	0.089289	0.871779	-1.566925	-1.016525	0.190865	-0.370854	-0.359234	0.277439	-0.463056	0.978351	-0.381700	-1.278453	1.424037	1.857953	0.141393	-0.385007	1.455483	1.252852	1.135307	-0.815040	-1.129872	1.901977	1.240646	-0.314601	-0.257623	-0.358941	-0.268020	-0.523720	-0.356221	-1.438521	-1.134310	
FAM172A	0.739442	1.417529	1.067351	0.816028	1.132794	1.247475	0.278066	-1.116566	-1.593736	-0.124786	-0.250475	0.777230	1.642135	0.524517	2.008577	1.416433	1.026827	0.950956	1.081212	1.087195	1.656483	0.752581	0.968056	0.576952	1.238044	1.462901	-0.789483	-1.608895	0.524966	0.156197	-0.620171	-0.360543	-0.616819	-0.609572	-0.960051	-1.754514	-0.625293	-0.307678	0.379767	-0.360232	-1.117072	-0.901820	-0.343513	0.498830	-1.540313	0.892843	-0.130756	-0.433563	-1.210997	-0.581861	-0.249807	-0.368174	-0.842072	-0.343076	0.484540	0.164339	-0.562555	-1.319114	-0.866473	-0.284631	-1.948867	-0.030954	0.294916	-1.183919	-2.922546	0.235153	-0.744172	-0.643953	0.201047	0.355388	0.507924	-0.852551	-1.497634	1.606101	1.160811	0.231924	-0.446674	1.799904	1.508482	1.515223	0.211840	-1.088040	-0.650021	1.276233	-0.019282	0.058301	0.348546	-0.473383	-1.483226	-0.983097	-0.565862	0.046734	
PELI1	2.290819	0.181001	2.055364	1.278598	0.808264	1.906332	0.906787	-0.109748	-0.369121	0.089412	-0.577055	-0.146956	-0.052196	0.128872	1.543928	1.782968	0.444574	-0.329188	1.549902	0.988962	0.280942	-0.952531	2.214296	-0.007675	-0.543001	1.248336	-1.896684	-0.012533	0.143607	-0.504854	0.163838	-1.581544	0.722190	-0.064745	-0.438685	-0.686879	0.003861	-0.029219	-2.388698	0.199073	-0.988557	-0.330876	-0.767337	0.596464	-0.531855	-0.524297	1.620669	0.458101	-2.323439	0.350658	0.049421	-0.044861	-0.411708	-0.757311	0.105637	-0.071530	-1.350270	-0.350637	-1.113109	-1.515821	-0.344064	0.365261	0.318612	-0.767628	-0.708784	0.978945	-0.282011	0.454821	0.766252	0.538649	0.560681	-0.460958	-0.945900	-0.331151	1.193670	1.147497	-0.819211	1.581549	0.141077	1.176575	-0.403185	-0.344856	-2.710748	1.479131	-0.566790	0.443478	-1.402148	-0.123918	-0.811213	-0.567046	-0.642994	-1.253549	
WDR49	1.566148	-1.441560	-0.980996	0.628553	0.277152	0.066485	-0.435761	0.037410	-0.076298	-1.244236	1.026223	0.358280	-0.066572	1.074137	0.254724	1.895846	1.486313	1.492074	0.884403	-0.756616	1.525194	-0.969445	1.906760	-0.463676	-0.430544	-2.186280	-0.713319	1.185948	1.155671	0.551053	-0.376669	0.584905	-0.683352	1.148007	-0.602998	-1.584013	-0.917776	0.331151	0.897537	0.629140	-1.268500	-0.171860	-0.385107	-0.309175	-0.580866	1.438621	0.372472	-1.579346	-0.813044	-0.044842	0.554152	0.582309	-0.156504	-0.775119	-0.087481	1.197260	-0.085285	-0.005472	-1.014648	-1.722791	0.724464	0.395925	0.112284	0.506389	-0.256589	-1.280232	-0.593134	-1.102240	0.751312	-2.173615	0.974610	0.482842	0.202999	0.029314	0.100883	-1.706065	1.223146	0.324081	-2.290480	1.555580	0.456527	-0.189919	2.154144	1.014494	0.218118	-0.068884	-1.742522	-0.159720	-0.274447	-0.403254	0.512187	-1.675975	
LCA5L	-0.845036	0.346114	-1.284700	1.769132	-1.392582	-0.987743	-0.354027	-0.186794	-0.454286	0.514186	-0.287366	1.105655	-0.943149	-0.388980	2.975827	-0.343128	-0.053929	-1.515645	1.780170	0.166054	-0.044927	-1.233897	2.571287	0.424657	-1.799413	-1.067976	-0.899148	-0.430565	1.586600	0.540335	-1.039063	-0.732074	0.434778	-0.727997	0.669271	-0.558203	-0.582045	-0.395656	2.078764	-0.902827	0.425479	0.058065	-1.207829	0.300550	0.085574	-1.029229	0.336567	-0.660894	-1.474505	-0.616120	0.359951	0.995195	-0.326146	-0.394816	-0.754906	-0.374978	-0.046778	0.813295	1.487362	1.165091	0.218528	-0.013334	-1.116489	1.472325	-0.302542	-0.155358	0.063827	-0.874991	-0.123484	0.724166	-0.587917	-0.986867	0.650822	1.248918	2.324018	-1.088619	0.397605	-1.033547	0.287557	-1.418655	1.041090	0.352580	1.630521	-0.628117	-0.257621	2.101211	-0.811055	-0.391249	-0.059162	0.763002	0.366237	-0.446005	
VSIG1	1.354100	2.422691	2.234174	-0.492994	-1.051909	-0.555466	1.870493	-0.264537	-0.595044	-0.393649	-1.050026	1.781508	0.085243	1.109658	0.818081	0.766194	0.441120	1.918584	1.132870	0.234797	1.051134	0.779524	-0.251734	-0.307340	1.926280	-0.616389	0.094039	-1.218453	0.478118	-0.313183	-0.302928	0.105732	0.085654	-0.838823	-0.258658	-0.999677	-0.399802	-0.355474	0.645421	-0.897291	-1.433455	-0.543018	-0.519277	0.637218	-1.072538	1.261144	-0.939720	-0.780934	-0.524544	-0.125959	-1.313479	-0.162252	-0.569469	0.691238	-0.945457	-1.305963	-0.239573	-0.194153	-1.465267	-0.660067	0.182644	0.233482	-0.310681	-0.415217	-1.165773	-1.151129	0.558149	-0.347617	0.180962	-0.448667	-0.039944	0.023882	-0.206611	-1.522845	1.310320	0.050722	-1.524653	2.225221	1.811431	1.533044	-0.295233	-0.883996	2.504541	2.093447	-0.297047	-0.211423	-0.776853	-0.874572	-0.755879	-0.328632	-0.500803	-0.616789	
FIG4	-1.224428	0.360912	1.197538	-1.082785	-1.638351	-0.607607	-0.953548	1.317704	0.628199	0.600133	-0.445441	-1.091275	0.782905	-0.662803	-1.155590	-0.358709	-1.045407	-1.165528	0.356706	0.135931	-0.391046	-0.681905	3.244588	-0.599864	-2.100633	-0.819258	-0.596403	-0.051909	-0.292407	-0.213920	-0.335983	0.452221	-0.021268	-0.547087	0.252417	0.031076	1.129211	2.130161	0.156009	-0.028892	0.073252	1.103664	0.465736	0.710202	0.995783	-0.781825	-0.854499	0.286719	0.105054	-0.662564	-0.534855	0.331983	0.620000	1.479279	1.495264	0.546955	-0.571835	0.788097	0.852012	-0.652102	1.416038	1.137286	1.805412	2.095141	0.045791	-1.161124	0.866710	-0.273880	0.559309	-1.003960	0.359680	0.422201	0.861536	-0.245754	-1.451673	-0.645732	0.160406	-1.127361	0.616368	-1.812063	2.448910	0.571828	-2.046833	-1.262870	-1.063610	-0.522546	-1.264035	-0.583487	0.323141	0.202966	0.333057	-0.220836	
CYLC2	1.876915	0.479746	0.884783	0.427452	-1.659970	-1.640744	1.089559	-0.274323	-0.087778	-0.399434	-0.763170	-1.393091	-0.451818	1.691604	-1.300315	-1.266586	1.855654	-1.428868	-0.550490	-0.085079	0.330009	0.192238	0.776376	-1.898793	-0.070677	-0.330064	-0.571958	0.101866	1.909864	0.344516	-0.347206	0.078994	0.193670	-1.543594	-0.567354	-1.152387	1.379336	0.592446	-0.611677	0.146014	-1.083117	0.058714	-0.506246	0.156256	-0.128643	1.832386	0.958829	0.305347	0.811333	-0.892229	0.827728	0.410486	-0.038683	-0.472791	1.646323	-0.855300	0.170738	1.166206	-0.471714	-0.539526	0.328272	0.126430	1.163748	0.006755	-0.628017	-0.040391	0.938563	1.012776	-0.626874	-1.543760	0.689395	-0.146526	1.314179	1.876796	2.139907	0.102143	1.452744	1.364178	-1.169221	0.557614	-0.114194	1.281120	-1.983198	-0.531947	-1.176232	-0.709570	-1.809050	-1.233136	0.022514	-1.010780	-0.527868	-0.438137	
CFH	-1.392536	0.182588	-1.740320	1.035139	-1.480818	-1.138888	-0.905948	0.956930	0.764378	0.195406	-0.595415	-1.020108	-1.039579	0.136647	0.284000	-0.224475	1.325038	-0.169829	-1.619110	-0.141315	-0.083042	-1.261042	-1.407908	-1.103462	-1.509412	-1.136857	-0.340923	0.593549	0.184889	-0.812412	2.444328	0.490521	0.538578	0.297243	0.108711	0.005565	0.673297	0.197274	1.181010	0.785271	0.278054	2.352370	-0.622899	-0.232531	2.163803	0.477791	0.201779	0.192115	0.654536	0.468780	0.227307	0.578047	0.873374	-0.464955	-0.429891	-0.047738	0.529717	1.817483	-0.593781	-0.467033	0.869759	-0.798332	-0.191835	0.884973	0.207673	-1.160932	1.942941	0.175482	-0.495948	-1.085216	-1.317481	-0.130362	0.199384	-0.763914	2.998350	-0.621332	1.441180	-1.690279	-1.645476	-0.020795	-0.033162	0.993433	0.881912	-1.679495	-0.746775	0.250133	-1.247410	-0.127770	0.782481	-0.335624	0.137502	1.113642	
TAS2R38	-1.602911	-0.340411	-0.409074	-0.822681	-1.497308	-1.594944	-1.189561	1.700916	1.687461	0.355651	1.384053	-1.533943	-0.862323	-0.537780	-1.193979	-1.520341	-0.707681	-0.646557	-1.567480	-0.877533	0.012507	-1.294127	-1.271373	-0.250308	-0.496908	-0.997714	-0.727975	0.738277	0.920791	2.116618	0.059037	0.451664	-0.147805	0.281524	-0.290348	0.713704	1.392732	0.731502	-0.656646	0.977526	0.254475	1.112047	0.045223	0.416799	1.473615	-0.805580	-0.202975	0.884415	-0.131121	-0.111615	0.237921	0.667728	1.895169	-0.145474	-0.003603	0.432783	0.399856	1.708765	0.774037	0.573885	1.448206	0.866354	0.726275	1.642001	1.681214	-0.740998	0.169623	1.028451	-0.236932	-0.331165	-0.750049	0.491089	0.386115	-0.256702	-0.901774	-0.213647	0.550913	-1.049339	-1.774866	-1.663909	0.238964	1.475091	-1.978265	-0.854200	-0.475868	-1.079623	-1.432347	1.096383	1.308503	-0.440571	0.713830	0.394643	
OSTN	0.940962	2.188937	-0.133356	0.829508	-1.801059	-1.363650	-1.555353	0.040918	0.137693	0.113479	-1.034131	-1.455068	1.138221	2.056640	0.622600	0.171332	1.851506	-0.727938	-0.929526	-0.846475	2.348687	-1.058136	2.532323	-1.191308	2.364569	-1.395395	-0.763350	0.373547	1.113112	-0.051511	1.322965	-0.102713	0.934477	-0.044577	-0.451209	-0.560855	-0.200338	1.104738	0.211939	-0.011312	0.092409	0.211111	-0.712495	-0.109810	0.131932	0.086080	0.036127	1.483656	-0.253038	0.095041	-0.419196	-0.216829	0.031530	-0.344614	-1.154902	-1.606880	0.812764	0.953852	-1.198514	-0.076543	0.177764	0.364247	0.134075	0.456067	-0.289848	-0.410679	0.295124	1.098752	-0.384268	-0.064233	-0.792695	-0.489507	-0.542099	-0.277835	1.558365	-0.391763	0.876850	-1.624966	-1.439884	2.471976	-0.720312	0.345475	-0.033817	-0.785304	-1.223997	-1.039976	-1.477666	0.089652	0.212351	0.637784	-0.679240	-0.612964	
